path,y_predicted
crop_h2/I00055.png,1BA0888
crop_h2/I00041.png,7888.989
crop_h2/I00069.png,9B6
crop_h2/I00068.png,2B7.4289
crop_h2/I00040.png,7B00844
crop_h2/I00054.png,1BB6338
crop_h2/I00042.png,7B195714
crop_h2/I00056.png,9B49365
crop_h2/I00057.png,6B26050
crop_h2/I00043.png,7B29430
crop_h2/I00047.png,9B84759
crop_h2/I00053.png,BZC49-39
crop_h2/I00052.png,7B58307
crop_h2/I00046.png,6867033
crop_h2/I00050.png,0320
crop_h2/I00044.png,61623
crop_h2/I00045.png,2B8:9928
crop_h2/I00051.png,4B45969
crop_h2/I00036.png,2B13579
crop_h2/I00022.png,3B04082
crop_h2/I00023.png,1J2
crop_h2/I00037.png,5808436
crop_h2/I00021.png,4B20737
crop_h2/I00035.png,9884391
crop_h2/I00009.png,23-93
crop_h2/I00008.png,
crop_h2/I00034.png,8823170
crop_h2/I00020.png,88781401
crop_h2/I00018.png,BZH8389
crop_h2/I00024.png,1BC4146
crop_h2/I00030.png,3AL0851
crop_h2/I00031.png,
crop_h2/I00025.png,5877655
crop_h2/I00019.png,9B383
crop_h2/I00033.png,13A|0851
crop_h2/I00027.png,20-87
crop_h2/I00026.png,6867495
crop_h2/I00032.png,7B11859
crop_h2/I00017.png,2B17515
crop_h2/I00003.png,1BD0673
crop_h2/I00002.png,4B10036
crop_h2/I00016.png,6W7
crop_h2/I00000.png,5C48306
crop_h2/I00014.png,AT5828
crop_h2/I00028.png,50983988
crop_h2/I00029.png,2B65055
crop_h2/I00015.png,7B14349
crop_h2/I00001.png,3B38140
crop_h2/I00039.png,2B52739
crop_h2/I00005.png,6B5:1255
crop_h2/I00011.png,7810307
crop_h2/I00010.png,8BO
crop_h2/I00004.png,4B5
crop_h2/I00038.png,4AF:9553
crop_h2/I00012.png,7970986
crop_h2/I00006.png,02466
crop_h2/I00007.png,5088558
crop_h2/I00013.png,7891102
crop_h2/I00074.png,5B11300
crop_h2/I00060.png,4AZ3802
crop_h2/I00048.png,1BB8851
crop_h2/I00049.png,685
crop_h2/I00061.png,7B5
crop_h2/I00075.png,1BA3428
crop_h2/I00063.png,088889
crop_h2/I00077.png,5882908
crop_h2/I00076.png,1BD0679
crop_h2/I00062.png,2Z5
crop_h2/I00066.png,7B9
crop_h2/I00072.png,9B59729
crop_h2/I00073.png,15811149
crop_h2/I00067.png,5B11149
crop_h2/I00059.png,3Z63187
crop_h2/I00071.png,7B98453
crop_h2/I00065.png,7B49988
crop_h2/I00064.png,4EO
crop_h2/I00070.png,1385815
crop_h2/I00058.png,8B6
crop_h4/I00082.png,789
crop_h4/I00055.png,9B46988
crop_h4/I00041.png,3451
crop_h4/I00069.png,4B4
crop_h4/I00068.png,5896
crop_h4/I00040.png,389
crop_h4/I00054.png,BZJ29-09
crop_h4/I00083.png,9B8
crop_h4/I00081.png,3B3
crop_h4/I00042.png,
crop_h4/I00056.png,5H8
crop_h4/I00057.png,8930
crop_h4/I00043.png,0162
crop_h4/I00080.png,BZI
crop_h4/I00084.png,2B9
crop_h4/I00047.png,8B10732
crop_h4/I00053.png,9B7
crop_h4/I00052.png,6396
crop_h4/I00046.png,3609
crop_h4/I00085.png,7B5
crop_h4/I00078.png,4541
crop_h4/I00050.png,
crop_h4/I00044.png,3B48296
crop_h4/I00045.png,6418
crop_h4/I00051.png,
crop_h4/I00079.png,BZ0
crop_h4/I00086.png,7B1
crop_h4/I00036.png,1BD
crop_h4/I00022.png,5B2
crop_h4/I00023.png,7B27150
crop_h4/I00037.png,6828800
crop_h4/I00021.png,5897425
crop_h4/I00035.png,0332
crop_h4/I00009.png,9B65431
crop_h4/I00008.png,B-13AEB
crop_h4/I00034.png,7B32443
crop_h4/I00020.png,1B87819
crop_h4/I00018.png,5B9
crop_h4/I00024.png,4AT7962
crop_h4/I00030.png,9T3
crop_h4/I00031.png,8547
crop_h4/I00025.png,7B0
crop_h4/I00019.png,2029
crop_h4/I00033.png,DT612BC
crop_h4/I00027.png,887
crop_h4/I00026.png,7B14156
crop_h4/I00032.png,7B3:1505
crop_h4/I00017.png,1BB
crop_h4/I00003.png,1BC
crop_h4/I00002.png,8B9
crop_h4/I00016.png,3B88729
crop_h4/I00000.png,4M2
crop_h4/I00014.png,1BC0525
crop_h4/I00028.png,6740
crop_h4/I00029.png,7B14156
crop_h4/I00015.png,7902
crop_h4/I00001.png,BL
crop_h4/I00039.png,BMZ08-15.
crop_h4/I00005.png,LL@4353G
crop_h4/I00011.png,3M4:6918
crop_h4/I00010.png,FMR
crop_h4/I00004.png,8T4
crop_h4/I00038.png,3T126754
crop_h4/I00012.png,8B7
crop_h4/I00006.png,8T3
crop_h4/I00007.png,6B4
crop_h4/I00013.png,5191
crop_h4/I00074.png,9836205
crop_h4/I00060.png,3172
crop_h4/I00048.png,7277
crop_h4/I00049.png,N9843101
crop_h4/I00061.png,1710
crop_h4/I00075.png,9B13198
crop_h4/I00063.png,2B4
crop_h4/I00077.png,8508
crop_h4/I00076.png,8868508
crop_h4/I00062.png,0832
crop_h4/I00066.png,3B7
crop_h4/I00072.png,1991
crop_h4/I00073.png,C2
crop_h4/I00067.png,8T52099
crop_h4/I00059.png,8121
